市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
030366,255,和歌山県,有田川町,2023-03-31,黒松,80,36,44,1,0,1,1,1,1,2,3,1,2,1,1,1,1,2,2,2,0,2,2,1,3,1,3,5,5,2,4,4,3,7,5,0,3,2,5,35,
030366,256,和歌山県,有田川町,2023-03-31,上六川,74,37,37,0,1,2,1,1,0,1,2,2,1,2,0,2,2,2,3,0,0,1,1,0,2,3,4,4,3,5,3,2,2,2,2,3,4,5,6,33,
030366,301,和歌山県,有田川町,2023-03-31,中原,37,14,23,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1,1,0,0,0,2,1,0,1,3,5,2,2,3,0,3,0,5,22,
030366,302,和歌山県,有田川町,2023-03-31,川合,19,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,3,1,0,3,0,1,1,2,1,2,16,
030366,303,和歌山県,有田川町,2023-03-31,二澤,33,12,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,1,2,1,2,0,4,4,10,25,
030366,304,和歌山県,有田川町,2023-03-31,北野川,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,6,12,
030366,311,和歌山県,有田川町,2023-03-31,粟生,274,128,146,1,3,5,0,2,1,4,2,3,2,3,3,4,4,3,6,1,3,8,5,9,10,9,6,8,8,14,14,18,15,14,15,10,17,12,32,167,
030366,312,和歌山県,有田川町,2023-03-31,二川,258,112,146,2,3,1,2,1,2,4,5,3,1,6,1,4,5,5,3,5,2,6,6,5,6,11,8,11,13,11,12,8,16,7,13,9,16,13,32,136,
030366,313,和歌山県,有田川町,2023-03-31,東大谷,31,18,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,2,6,2,1,0,0,3,6,5,21,
030366,314,和歌山県,有田川町,2023-03-31,三瀬川,16,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,2,2,2,1,1,0,1,1,0,9,
030366,315,和歌山県,有田川町,2023-03-31,日物川,28,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,2,0,2,0,2,0,1,1,5,4,3,22,
030366,316,和歌山県,有田川町,2023-03-31,境川,39,18,21,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,3,0,0,0,1,0,1,0,3,3,1,3,2,1,3,8,23,
030366,321,和歌山県,有田川町,2023-03-31,井谷,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,2,3,0,0,2,0,0,0,4,10,
030366,322,和歌山県,有田川町,2023-03-31,板尾,91,43,48,0,0,0,0,1,1,4,1,1,3,1,0,1,1,2,0,1,2,1,2,1,1,4,5,5,1,4,3,6,7,1,3,2,7,8,11,53,
030366,323,和歌山県,有田川町,2023-03-31,杉野原,101,48,53,0,0,1,3,3,2,3,1,2,0,1,0,0,0,1,3,2,2,5,3,2,3,2,5,4,2,7,5,5,4,2,3,3,7,5,10,47,
030366,324,和歌山県,有田川町,2023-03-31,押手,49,21,28,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0,0,2,2,0,1,1,2,3,4,2,6,2,1,2,5,4,6,30,
030366,325,和歌山県,有田川町,2023-03-31,沼谷,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,3,5,0,1,3,1,1,2,8,22,
